PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
Cam Spencer,Memphis Grizzlies,2,11,29,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-232,-16,0
Karl-Anthony Towns,New York Knicks,2,11,17,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),28,4,281,0
OG Anunoby,New York Knicks,2,11,6,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,2,8,1
Ja Morant,Memphis Grizzlies,2,10,55,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-157,185,0
Karl-Anthony Towns,New York Knicks,2,10,44,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-9,10,1
Miles McBride,New York Knicks,2,10,17,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-104,242,1
Jaren Jackson Jr.,Memphis Grizzlies,2,10,0,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-5,14,1
OG Anunoby,New York Knicks,2,9,43,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-225,113,0
Ja Morant,Memphis Grizzlies,2,9,32,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,235,-5,1
Karl-Anthony Towns,New York Knicks,2,9,19,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),27,58,269,1
Vince Williams Jr.,Memphis Grizzlies,2,9,11,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-1,11,1
Jaren Jackson Jr.,Memphis Grizzlies,2,8,49,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),27,154,224,0
Karl-Anthony Towns,New York Knicks,2,8,37,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-21,2,0
Cam Spencer,Memphis Grizzlies,2,8,31,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,0,13,1
Jordan Clarkson,New York Knicks,2,7,38,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24,-229,84,0
Cedric Coward,Memphis Grizzlies,2,7,34,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,-1,14,1
Miles McBride,New York Knicks,2,7,15,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-233,26,0
Mikal Bridges,New York Knicks,2,7,10,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24,241,23,0
Cedric Coward,Memphis Grizzlies,2,7,1,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,239,4,0
Jordan Clarkson,New York Knicks,2,6,50,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,97,242,1
Vince Williams Jr.,Memphis Grizzlies,2,6,34,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,229,62,0
Miles McBride,New York Knicks,2,6,24,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-229,18,0
Karl-Anthony Towns,New York Knicks,2,6,21,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-6,36,0
Santi Aldama,Memphis Grizzlies,2,6,5,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,-23,37,1
Cedric Coward,Memphis Grizzlies,2,5,32,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-184,177,0
Josh Hart,New York Knicks,2,5,18,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),18,49,178,0
Jordan Clarkson,New York Knicks,2,4,59,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),3,11,29,1
Jalen Brunson,New York Knicks,2,4,39,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),27,25,270,0
Santi Aldama,Memphis Grizzlies,2,4,30,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),25,17,256,0
Jordan Clarkson,New York Knicks,2,4,23,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-151,211,1
Ja Morant,Memphis Grizzlies,2,3,58,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,64,122,1
Jordan Clarkson,New York Knicks,2,3,47,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,4,1
Guerschon Yabusele,New York Knicks,2,3,18,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,1,5,1
Jaylen Wells,Memphis Grizzlies,2,3,11,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-230,-12,0
